book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, New 정보통신개론 : 기본 이론부터 사물인터넷 개념까지",고응남 ,,2015-07-03,9791156641957
"IT CookBook, 우분투 리눅스 : 시스템 & 네트워크",이종원 ,,2014-07-03,9791156641209
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정 ,,2015-10-26,9791156642015
"IT EXPERT, ASP.NET 2.0 웹 프로젝트와 실전 프로그래밍",조성진 ,,2006-07-03,8979144180
Elemental Design Patterns : 객체지향과 디자인 패턴의 연결 고리,제이슨 맥컴 스미스 ,김지원 ,2013-05-02,9788968480140
PMP 바이블 : PMP 자격증 취득의 길로 안내하는 가장 확실한 지침서 (전2권 세트),"강정배 , 서정훈 , 이지현 , 박주진 ",,2015-01-07,9788968481604
자바와 암호화 : JCA를 이용한 암호화 구현하기,김강우 ,,2014-09-23,9788968486715
HTML5+CSS3 정복 : 실습 위주의 친절한 HTML5 자습서,김상형 ,,2014-09-28,9788968481277
Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판),"케이시 시에라 , 버트 베이츠 ",서환수 ,2005-11-16,8979143710
"IT CookBook, 단계별로 배우는 안드로이드 프로그래밍",김선우 ,,2017-12-08,9791156643630
Head First Servlets & JSP(개정판) : 상상력을 자극하는 몰입의 학습법,"케이시 시에라 , 버트 베이츠 , 브라얀 바샴 ",김종호 ,2009-02-02,9788979146639
"자바 프로그래밍 면접, 이렇게 준비한다",노엘 마크엄 ,정원천 ,2015-01-23,9788968481529
"팟캐스트 나는 프로그래머다: 뉴욕, 서울, 도쿄 개발자의 촌철살인 IT 이야기","임백준 , 정도현 , 김호광 ",,2015-10-19,9788968482281
"모던 웹 디자인을 위한 HTML5+CSS3 입문, 개정판",윤인성 ,,2015-01-19,9788968481611
프로그래머의 리더십,정영훈 ,,2015-01-05,9788968481512
리눅스 시스템 프로그래밍(개정2판) : 커널과 C 라이브러리로 풀어가는(리눅스 3.x 최신 커널 기반),로버트 러브 ,김영근 ,2014-12-26,9788968481482
게임을 움직이는 기술과 발상 : 코드 한 줄 없이 익히는 게임 개발 리얼 다큐,도마에 요시키 ,고승희 ,2014-12-26,9788968481543
